"measure_cd","measure_title","rows"
"IA_GRP_CC_15","PSH Care Coordination","32"
"IA_GRP_CC_16","Primary Care Physician and Behavioral Health Bilateral Electronic Exchange of Information for Shared Patients","50"
"IA_GRP_CC_17","Patient Navigator Program","70"
"IA_GRP_CC_18","Relationship-Centered Communication","30"
"IA_GRP_CC_19","Tracking of clinicians relationship to and responsibility for a patient by reporting MACRA patient relationship codes.","426"
"IA_GRP_CC_2","Implementation of improvements that contribute to more timely communication of test results","1312"
"IA_GRP_CC_7","Regular training in care coordination","142"
"IA_GRP_CC_8","Implementation of documentation improvements for practice/process improvements","199"
"IA_GRP_CC_9","Implementation of practices/processes for developing regular individual care plans","241"
"IA_GRP_EPA_1","Provide 24/7 Access to MIPS Eligible Clinicians or Groups Who Have Real-Time Access to Patient's Medical Record","5204"
"IA_GRP_EPA_2","Use of telehealth services that expand practice access","932"
"IA_GRP_EPA_3","Collection and use of patient experience and satisfaction data on access","494"
"IA_GRP_EPA_4","Additional improvements in access as a result of QIN/QIO TA","34"
"IA_GRP_EPA_5","Participation in User Testing of the Quality Payment Program Website (https://qpp.cms.gov/)","40"
"IA_GRP_EPA_6","Create and Implement a Language Access Plan","289"
"IA_GRP_ERP_1","Participation on Disaster Medical Assistance Team, registered for 6 months.","18"
"IA_GRP_ERP_2","Participation in a 60-day or greater effort to support domestic or international humanitarian needs.","22"
"IA_GRP_ERP_3","COVID-19 Clinical Data Reporting with or without Clinical Trial","51"
"IA_GRP_ERP_4","Implementation of a Personal Protective Equipment (PPE) Plan","366"
"IA_GRP_ERP_5","Implementation of a Laboratory Preparedness Plan","36"
"IA_GRP_ERP_6","COVID-19 Vaccine Achievement for Practice Staff","119"
"IA_GRP_PCMH","Electronic submission of Patient Centered Medical Home accreditation","201"
"IA_GRP_PM_11","Regular review practices in place on targeted patient population needs","96"
"IA_GRP_PM_12","Population empanelment","185"
"IA_GRP_PM_13","Chronic Care and Preventative Care Management for Empaneled Patients","260"
"IA_GRP_PM_14","Implementation of methodologies for improvements in longitudinal care management for high risk patients","66"
"IA_GRP_PM_15","Implementation of episodic care management practice improvements","134"
"IA_GRP_PM_16","Implementation of medication management practice improvements","1650"
"IA_GRP_PM_17","Participation in Population Health Research","161"
"IA_GRP_PM_18","Provide Clinical-Community Linkages","19"
"IA_GRP_PM_19","Glycemic Screening Services","51"
"IA_GRP_PM_2","Anticoagulant Management Improvements","155"
"IA_GRP_PM_20","Glycemic Referring Services","24"
"IA_GRP_PM_21","Advance Care Planning","306"
"IA_GRP_PM_3","RHC, IHS or FQHC quality improvement activities","36"
"IA_GRP_PM_4","Glycemic management services","74"
"IA_GRP_PM_5","Engagement of community for health status improvement","45"
"IA_GRP_PM_6","Use of Toolsets or Other Resources to Close Health and Health Care Inequities Across Communities (Use of toolset or other resources to close healthcare disparities across communities)","28"
"IA_GRP_PSPA_1","Participation in an AHRQ-listed patient safety organization.","120"
"IA_GRP_PSPA_12","Participation in private payer CPIA","61"
"IA_GRP_PSPA_13","Participation in Joint Commission Evaluation Initiative","141"
"IA_GRP_PSPA_15","Implementation of an ASP","87"
"IA_GRP_PSPA_16","Use of decision support and standardized treatment protocols","1897"
"IA_GRP_PSPA_17","Implementation of analytic capabilities to manage total cost of care for practice population","63"
"IA_GRP_PSPA_18","Measurement and improvement at the practice and panel level","500"
"IA_GRP_PSPA_19","Implementation of formal quality improvement methods, practice changes, or other practice improvement processes","510"
"IA_GRP_PSPA_2","Participation in MOC Part IV","170"
"IA_GRP_PSPA_21","Implementation of fall screening and assessment programs","1001"
"IA_GRP_PSPA_22","CDC Training on CDCs Guideline for Prescribing Opioids for Chronic Pain","148"
"IA_GRP_PSPA_23","Completion of CDC Training on Antibiotic Stewardship","54"
"IA_GRP_PSPA_25","Cost Display for Laboratory and Radiographic Orders","48"
"IA_GRP_PSPA_26","Communication of Unscheduled Visit for Adverse Drug Event and Nature of Event","28"
"IA_GRP_PSPA_27","Invasive Procedure or Surgery Anticoagulation Medication Management","77"
"IA_GRP_PSPA_28","Completion of an Accredited Safety or Quality Improvement Program","156"
"IA_GRP_PSPA_29","Consulting Appropriate Use Criteria (AUC) Using Clinical Decision Support when Ordering Advanced Diagnostic Imaging","147"
"IA_GRP_PSPA_3","Participate in IHI Training/Forum Event; National Academy of Medicine, AHRQ Team STEPPS or Other Similar Activity","13"
"IA_GRP_PSPA_31","Patient Medication Risk Education","118"
"IA_GRP_PSPA_32","Use of CDC Guideline for Clinical Decision Support to Prescribe Opioids for Chronic Pain via Clinical Decision Support","79"
"IA_GRP_PSPA_33","Application of CDCs Training for Healthcare Providers on Lyme Disease","15"
"IA_GRP_PSPA_4","Administration of the AHRQ Survey of Patient Safety Culture","32"
"IA_GRP_PSPA_7","Use of QCDR data for ongoing practice assessment and improvements","248"
"IA_GRP_PSPA_8","Use of Patient Safety Tools","117"
"IA_GRP_PSPA_9","Completion of the AMA STEPS Forward program","22"
